CollegeID,College_name,City,State,Score,Rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.19,1.0
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.96,2.0
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.16,3.0
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,83.22,4.0
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,82.03,5.0
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,78.08,6.0
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,73.84,7.0
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.69,8.0
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.08,9.0
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,64.19,10.0
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,64.07,11.0
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,63.68,12.0
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.56,13.0
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,62.1,14.0
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,60.31,15.0
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.67,16.0
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.19,17.0
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,58.31,18.0
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,58.09,19.0
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,58.02,20.0
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,57.38,21.0
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,56.86,22.0
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,56.76,23.0
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,56.76,23.0
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,56.48,25.0
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,56.35,26.0
IR-E-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,56.2,27.0
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,55.71,28.0
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.48,29.0
IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,54.94,30.0
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,54.87,31.0
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.77,32.0
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,54.46,33.0
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,54.17,34.0
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,54.0,35.0
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,53.96,36.0
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,53.95,37.0
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,53.22,38.0
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,53.12,39.0
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.85,40.0
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,52.58,41.0
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.9,42.0
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,51.56,43.0
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,50.59,44.0
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,50.2,45.0
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,50.06,46.0
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49.99,47.0
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,49.57,48.0
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,49.01,49.0
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,48.49,50.0
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,48.17,51.0
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,48.12,52.0
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.91,53.0
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47.12,54.0
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,46.65,55.0
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,46.57,56.0
IR-E-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,45.63,57.0
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,45.52,58.0
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,45.37,59.0
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,45.02,60.0
IR-E-U-0747,Chandigarh University,Mohali,Punjab,45.01,61.0
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,44.95,62.0
IR-E-U-0105,"Indraprastha Institute of Information Technology, Delhi",New Delhi,Delhi,44.85,63.0
IR-E-U-0092,National Institute of Technology Raipur,Raipur,Chhattisgarh,44.83,64.0
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,43.74,65.0
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,43.69,66.0
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,43.64,67.0
IR-E-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,43.17,68.0
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,42.63,69.0
IR-E-U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,42.62,70.0
IR-E-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,42.58,71.0
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,42.06,72.0
IR-E-U-0795,Indian Institute of Information Technology Guwahati,Guwahati,Assam,41.98,73.0
IR-E-C-24004,College of Engineering (A),Visakhapatnam,Andhra Pradesh,41.92,74.0
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,41.83,75.0
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,41.64,76.0
IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,41.52,77.0
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,41.29,78.0
IR-E-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,41.22,79.0
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,41.17,80.0
IR-E-C-45375,Indian Institute of Food Processing Technology (IIFPT),Thanjavur,Tamil Nadu,41.13,81.0
IR-E-C-33641,"Veermata Jijabai Technological Institute, (VJTI, Mumbai)",Mumbai,Maharashtra,41.07,82.0
IR-E-U-0733,PES University,Bengaluru,Karnataka,41.06,83.0
IR-E-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,40.63,84.0
IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,40.6,85.0
IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,40.53,86.0
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,40.28,87.0
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,40.22,88.0
IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,40.16,89.0
IR-E-C-36926,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,39.92,90.0
IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,39.87,91.0
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,39.86,92.0
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,39.84,93.0
IR-E-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,39.82,94.0
IR-E-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,39.4,95.0
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,39.39,96.0
IR-E-U-0163,The Northcap University,Gurugram,Haryana,39.23,97.0
IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,Karnataka,39.13,98.0
IR-E-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,39.09,99.0
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,38.94,100.0
